,season,week,home_team,home_points,away_points,away_team
0,2022,1,Western Kentucky,38,27,Austin Peay
1,2022,1,Northwestern,31,28,Nebraska
2,2022,1,UNLV,52,21,Idaho State
3,2022,1,Illinois,38,6,Wyoming
4,2022,1,Utah State,31,20,UConn
5,2022,1,Florida State,47,7,Duquesne
6,2022,1,Florida Atlantic,43,13,Charlotte
7,2022,1,North Carolina,56,24,Florida A&M
8,2022,1,UTEP,13,31,North Texas
9,2022,1,New Mexico State,12,23,Nevada
10,2022,1,Hawai'i,10,63,Vanderbilt
11,2022,1,Akron,30,23,St. Francis (PA)
12,2022,1,UCF,56,10,South Carolina State
13,2022,1,Pittsburgh,38,31,West Virginia
14,2022,1,Florida International,38,37,Bryant
15,2022,1,Oklahoma State,58,44,Central Michigan
16,2022,1,Tennessee,59,10,Ball State
17,2022,1,Toledo,37,0,Long Island University
18,2022,1,Wake Forest,44,10,VMI
19,2022,1,Northern Illinois,34,27,Eastern Illinois
20,2022,1,Purdue,31,35,Penn State
21,2022,1,UAB,59,0,Alabama A&M
22,2022,1,Missouri,52,24,Louisiana Tech
23,2022,1,Minnesota,38,0,New Mexico State
24,2022,1,Arizona State,40,3,Northern Arizona
25,2022,1,Fresno State,35,7,Cal Poly
26,2022,1,San José State,21,17,Portland State
27,2022,1,Charlotte,24,41,William & Mary
28,2022,1,Eastern Michigan,42,34,Eastern Kentucky
29,2022,1,Old Dominion,20,17,Virginia Tech
30,2022,1,Michigan State,35,13,Western Michigan
31,2022,1,Duke,30,0,Temple
32,2022,1,Kansas,56,10,Tennessee Tech
33,2022,1,Indiana,23,20,Illinois
34,2022,1,Colorado,13,38,TCU
35,2022,1,Boston College,21,22,Rutgers
36,2022,1,App State,61,63,North Carolina
37,2022,1,Maryland,31,10,Buffalo
38,2022,1,East Carolina,20,21,NC State
39,2022,1,Navy,7,14,Delaware
40,2022,1,UConn,28,3,Central Connecticut
41,2022,1,Iowa,7,3,South Dakota State
42,2022,1,Michigan,51,7,Colorado State
43,2022,1,Texas A&M,31,0,Sam Houston
44,2022,1,Virginia,34,17,Richmond
45,2022,1,Air Force,48,17,Northern Iowa
46,2022,1,Iowa State,42,10,Southeast Missouri State
47,2022,1,UCLA,45,17,Bowling Green
48,2022,1,Oklahoma,45,13,UTEP
49,2022,1,Wyoming,40,37,Tulsa
50,2022,1,Miami,70,13,Bethune-Cookman
51,2022,1,San Diego State,20,38,Arizona
52,2022,1,Nebraska,38,17,North Dakota
53,2022,1,UTSA,35,37,Houston
54,2022,1,Georgia,49,3,Oregon
55,2022,1,Marshall,55,3,Norfolk State
56,2022,1,Arkansas,31,24,Cincinnati
57,2022,1,Ole Miss,28,10,Troy
58,2022,1,California,34,13,UC Davis
59,2022,1,South Florida,21,50,BYU
60,2022,1,South Alabama,48,7,Nicholls
61,2022,1,Nevada,38,14,Texas State
62,2022,1,James Madison,44,7,Middle Tennessee
