,season,week,home_team,home_points,away_points,away_team
0,2007,1,Cincinnati,59,3,Southeast Missouri State
1,2007,1,UL Monroe,17,35,Tulsa
2,2007,1,Ball State,13,14,Miami (OH)
3,2007,1,Rutgers,38,3,Buffalo
4,2007,1,Louisville,73,10,Murray State
5,2007,1,New Mexico State,35,14,SE Louisiana
6,2007,1,Mississippi State,0,45,LSU
7,2007,1,Iowa State,14,23,Kent State
8,2007,1,Utah State,16,23,UNLV
9,2007,1,Boise State,56,7,Weber State
10,2007,1,Oregon State,24,7,Utah
11,2007,1,Temple,19,30,Navy
12,2007,1,Syracuse,12,42,Washington
13,2007,1,Michigan State,55,18,UAB
14,2007,1,Ohio State,38,6,Youngstown State
15,2007,1,Colorado,31,28,Colorado State
16,2007,1,Miami,31,3,Marshall
17,2007,1,Virginia Tech,17,7,East Carolina
18,2007,1,Penn State,59,0,Florida International
19,2007,1,Northwestern,27,0,Northeastern
20,2007,1,Michigan,32,34,App State
21,2007,1,Florida,49,3,Western Kentucky
22,2007,1,Wyoming,23,3,Virginia
23,2007,1,Air Force,34,3,South Carolina State
24,2007,1,Duke,14,45,UConn
25,2007,1,Illinois,34,40,Missouri
26,2007,1,Northern Illinois,3,16,Iowa
27,2007,1,Memphis,21,23,Ole Miss
28,2007,1,Nebraska,52,10,Nevada
29,2007,1,West Virginia,62,24,Western Michigan
30,2007,1,Notre Dame,3,33,Georgia Tech
31,2007,1,Boston College,38,28,Wake Forest
32,2007,1,Oregon,48,27,Houston
33,2007,1,Wisconsin,42,21,Washington State
34,2007,1,Stanford,17,45,UCLA
35,2007,1,Florida Atlantic,27,14,Middle Tennessee
36,2007,1,BYU,20,7,Arizona
37,2007,1,NC State,23,25,UCF
38,2007,1,Pittsburgh,27,3,Eastern Michigan
39,2007,1,Maryland,31,14,Villanova
40,2007,1,Kentucky,50,10,Eastern Kentucky
41,2007,1,TCU,27,0,Baylor
42,2007,1,North Carolina,37,14,James Madison
43,2007,1,Georgia,35,14,Oklahoma State
44,2007,1,Oklahoma,79,10,North Texas
45,2007,1,Akron,22,14,Army
46,2007,1,Arkansas,46,26,Troy
47,2007,1,Texas,21,13,Arkansas State
48,2007,1,Toledo,24,52,Purdue
49,2007,1,Louisiana Tech,28,7,Central Arkansas
50,2007,1,Southern Miss,35,13,UT Martin
51,2007,1,Ohio,36,14,Gardner-Webb
52,2007,1,Vanderbilt,41,17,Richmond
53,2007,1,Kansas,52,7,Central Michigan
54,2007,1,Texas A&M,38,7,Montana State
55,2007,1,South Carolina,28,14,Louisiana
56,2007,1,South Florida,28,13,Elon
57,2007,1,Alabama,52,6,Western Carolina
58,2007,1,Auburn,23,13,Kansas State
59,2007,1,California,45,31,Tennessee
60,2007,1,Minnesota,31,32,Bowling Green
61,2007,1,Indiana,55,7,Indiana State
62,2007,1,Rice,14,16,Nicholls
63,2007,1,Arizona State,45,3,San José State
64,2007,1,UTEP,10,6,New Mexico
65,2007,1,Fresno State,24,3,Sacramento State
66,2007,1,USC,38,10,Idaho
67,2007,1,Hawai'i,63,6,Northern Colorado
68,2007,1,SMU,9,49,Texas Tech
69,2007,1,Clemson,24,18,Florida State
70,2007,2,Louisville,58,42,Middle Tennessee
71,2007,2,Cincinnati,34,3,Oregon State
72,2007,2,Rutgers,41,24,Navy
73,2007,2,Marshall,23,48,West Virginia
74,2007,2,Eastern Michigan,16,38,Ball State
75,2007,2,Virginia,24,13,Duke
76,2007,2,Oklahoma,51,13,Miami
77,2007,2,Pittsburgh,34,10,Grambling
78,2007,2,Purdue,52,6,Eastern Illinois
79,2007,2,Minnesota,41,35,Miami (OH)
80,2007,2,Ohio State,20,2,Akron
81,2007,2,Wake Forest,17,20,Nebraska
82,2007,2,Northwestern,36,31,Nevada
83,2007,2,Michigan State,28,17,Bowling Green
84,2007,2,Vanderbilt,10,24,Alabama
85,2007,2,Army,14,7,Rhode Island
86,2007,2,Temple,7,42,Buffalo
87,2007,2,Clemson,49,26,UL Monroe
88,2007,2,Georgia Tech,69,14,Samford
89,2007,2,Wyoming,32,18,Utah State
90,2007,2,Colorado State,28,34,California
91,2007,2,Boston College,37,17,NC State
92,2007,2,Michigan,7,39,Oregon
93,2007,2,Texas A&M,47,45,Fresno State
94,2007,2,Washington,24,10,Boise State
95,2007,2,Florida State,34,24,UAB
96,2007,2,Western Kentucky,87,0,West Virginia Institute Of Tech
97,2007,2,Idaho,20,13,Cal Poly
98,2007,2,Georgia,12,16,South Carolina
99,2007,2,Kentucky,56,20,Kent State
100,2007,2,East Carolina,34,31,North Carolina
101,2007,2,Florida,59,31,Troy
102,2007,2,Ole Miss,25,38,Missouri
103,2007,2,Utah,12,20,Air Force
104,2007,2,Penn State,31,10,Notre Dame
105,2007,2,UCLA,27,17,BYU
106,2007,2,Iowa State,13,24,Northern Iowa
107,2007,2,Illinois,21,0,Western Illinois
108,2007,2,UConn,38,0,Maine
109,2007,2,Central Michigan,52,31,Toledo
110,2007,2,Texas Tech,45,31,UTEP
111,2007,2,Texas,34,13,TCU
112,2007,2,Louisiana,23,31,Ohio
113,2007,2,Washington State,45,17,San Diego State
114,2007,2,Tennessee,39,19,Southern Miss
115,2007,2,Baylor,42,17,Rice
116,2007,2,Kansas State,34,14,San José State
117,2007,2,Oklahoma State,42,6,Florida Atlantic
118,2007,2,Florida International,10,26,Maryland
119,2007,2,Kansas,62,0,SE Louisiana
120,2007,2,Tulane,17,38,Mississippi State
121,2007,2,Louisiana Tech,44,45,Hawai'i
122,2007,2,Northern Illinois,31,34,Southern Illinois
123,2007,2,Western Michigan,27,37,Indiana
124,2007,2,SMU,45,31,North Texas
125,2007,2,Iowa,35,0,Syracuse
126,2007,2,Auburn,23,26,South Florida
127,2007,2,LSU,48,7,Virginia Tech
128,2007,2,New Mexico,44,34,New Mexico State
129,2007,2,UNLV,13,20,Wisconsin
130,2007,2,Arizona,45,24,Northern Arizona
131,2007,2,Arizona State,33,14,Colorado
132,2007,3,Maryland,14,31,West Virginia
133,2007,3,Air Force,20,17,TCU
134,2007,3,Troy,41,23,Oklahoma State
135,2007,3,Indiana,41,24,Akron
136,2007,3,Syracuse,20,41,Illinois
137,2007,3,Northern Illinois,19,21,Eastern Michigan
138,2007,3,Purdue,45,22,Central Michigan
139,2007,3,UConn,22,17,Temple
140,2007,3,North Carolina,20,22,Virginia
141,2007,3,Wisconsin,45,31,The Citadel
142,2007,3,Michigan State,17,13,Pittsburgh
143,2007,3,Miami (OH),10,47,Cincinnati
144,2007,3,Penn State,45,24,Buffalo
145,2007,3,Auburn,14,19,Mississippi State
146,2007,3,Clemson,38,10,Furman
147,2007,3,Georgia,45,16,Western Carolina
148,2007,3,Florida Atlantic,42,39,Minnesota
149,2007,3,Virginia Tech,28,7,Ohio
150,2007,3,Iowa State,15,13,Iowa
151,2007,3,Missouri,52,24,Western Michigan
152,2007,3,Rice,24,59,Texas Tech
153,2007,3,Western Kentucky,26,6,Eastern Kentucky
154,2007,3,Oklahoma,54,3,Utah State
155,2007,3,Washington,14,33,Ohio State
156,2007,3,Rutgers,59,0,Norfolk State
157,2007,3,Florida,59,20,Tennessee
158,2007,3,Michigan,38,0,Notre Dame
159,2007,3,Miami,23,9,Florida International
160,2007,3,Wake Forest,21,10,Army
161,2007,3,UCF,32,35,Texas
162,2007,3,Kent State,38,7,Delaware State
163,2007,3,Marshall,35,48,New Hampshire
164,2007,3,Navy,31,34,Ball State
165,2007,3,Utah,44,6,UCLA
166,2007,3,NC State,38,17,Wofford
167,2007,3,East Carolina,21,28,Southern Miss
168,2007,3,Oregon State,61,10,Idaho State
169,2007,3,California,42,12,Louisiana Tech
170,2007,3,Alabama,41,38,Arkansas
171,2007,3,Vanderbilt,31,17,Ole Miss
172,2007,3,Texas A&M,54,14,UL Monroe
173,2007,3,Arkansas State,45,28,SMU
174,2007,3,Oregon,52,21,Fresno State
175,2007,3,Baylor,34,27,Texas State
176,2007,3,South Carolina,38,3,South Carolina State
177,2007,3,Louisiana,17,38,McNeese
178,2007,3,UAB,22,0,Alcorn State
179,2007,3,Tulane,10,34,Houston
180,2007,3,Kansas,45,13,Toledo
181,2007,3,Kansas State,61,10,Missouri State
182,2007,3,Kentucky,40,34,Louisville
183,2007,3,New Mexico State,29,24,UTEP
184,2007,3,Nebraska,31,49,USC
185,2007,3,Boise State,24,14,Wyoming
186,2007,3,Memphis,35,14,Jacksonville State
187,2007,3,Georgia Tech,10,24,Boston College
188,2007,3,LSU,44,0,Middle Tennessee
189,2007,3,Northwestern,14,20,Duke
190,2007,3,Nevada,52,17,Nicholls
191,2007,3,Tulsa,55,47,BYU
192,2007,3,UNLV,14,49,Hawai'i
193,2007,3,Stanford,37,0,San José State
194,2007,3,Colorado,6,16,Florida State
195,2007,3,Washington State,45,28,Idaho
196,2007,3,Arizona,27,29,New Mexico
197,2007,3,Arizona State,34,13,San Diego State
198,2007,4,Middle Tennessee,17,20,Western Kentucky
199,2007,4,Miami,34,17,Texas A&M
200,2007,4,Tulsa,21,62,Oklahoma
201,2007,4,Virginia,28,23,Georgia Tech
202,2007,4,NC State,20,42,Clemson
203,2007,4,Indiana,14,27,Illinois
204,2007,4,Akron,27,20,Kent State
