,season,week,home_team,home_points,away_points,away_team
0,2012,1,Central Michigan,38,27,Southeast Missouri State
1,2012,1,Akron,14,56,UCF
2,2012,1,Vanderbilt,13,17,South Carolina
3,2012,1,Ball State,37,26,Eastern Michigan
4,2012,1,Kent State,41,21,Towson
5,2012,1,Utah,41,0,Northern Colorado
6,2012,1,Rice,24,49,UCLA
7,2012,1,Middle Tennessee,21,27,McNeese
8,2012,1,UConn,37,0,Massachusetts
9,2012,1,Utah State,34,3,Southern Utah
10,2012,1,New Mexico State,49,19,Sacramento State
11,2012,1,Idaho,3,20,Eastern Washington
12,2012,1,BYU,30,6,Washington State
13,2012,1,Arizona State,63,6,Northern Arizona
14,2012,1,UNLV,27,30,Minnesota
15,2012,1,Temple,41,10,Villanova
16,2012,1,Tennessee,35,21,NC State
17,2012,1,Florida Atlantic,7,3,Wagner
18,2012,1,Michigan State,17,13,Boise State
19,2012,1,Stanford,20,17,San José State
20,2012,1,Navy,10,50,Notre Dame
21,2012,1,Illinois,24,7,Western Michigan
22,2012,1,Penn State,14,24,Ohio
23,2012,1,Georgia,45,23,Buffalo
24,2012,1,UAB,29,39,Troy
25,2012,1,Syracuse,41,42,Northwestern
26,2012,1,East Carolina,35,13,App State
27,2012,1,West Virginia,69,34,Marshall
28,2012,1,Ohio State,56,10,Miami (OH)
29,2012,1,North Carolina,62,0,Elon
30,2012,1,Air Force,49,21,Idaho State
31,2012,1,South Alabama,31,33,UTSA
32,2012,1,Virginia,43,19,Richmond
33,2012,1,Maryland,7,6,William & Mary
34,2012,1,California,24,31,Nevada
35,2012,1,Purdue,48,6,Eastern Kentucky
36,2012,1,Iowa State,38,23,Tulsa
37,2012,1,Florida,27,14,Bowling Green
38,2012,1,Wisconsin,26,21,Northern Iowa
39,2012,1,Nebraska,49,20,Southern Miss
40,2012,1,Boston College,32,41,Miami
41,2012,1,Northern Illinois,17,18,Iowa
42,2012,1,Colorado,17,22,Colorado State
43,2012,1,New Mexico,66,21,Southern
44,2012,1,Florida State,69,3,Murray State
45,2012,1,Pittsburgh,17,31,Youngstown State
46,2012,1,Wake Forest,20,17,Liberty
47,2012,1,Texas Tech,44,6,Northwestern State
48,2012,1,Memphis,17,20,UT Martin
49,2012,1,Missouri,62,10,SE Louisiana
50,2012,1,Ole Miss,49,27,Central Arkansas
51,2012,1,Kansas,31,17,South Dakota State
52,2012,1,South Florida,34,13,Chattanooga
53,2012,1,Auburn,19,26,Clemson
54,2012,1,Duke,46,26,Florida International
55,2012,1,Arkansas,49,24,Jacksonville State
56,2012,1,Mississippi State,56,9,Jackson State
57,2012,1,Western Kentucky,49,10,Austin Peay
58,2012,1,Louisiana,40,0,Lamar
59,2012,1,Oklahoma State,84,0,Savannah St
60,2012,1,LSU,41,14,North Texas
61,2012,1,Kansas State,51,9,Missouri State
62,2012,1,USC,49,10,Hawai'i
63,2012,1,Tulane,12,24,Rutgers
64,2012,1,Alabama,41,14,Michigan
65,2012,1,Houston,13,30,Texas State
66,2012,1,Indiana,24,17,Indiana State
67,2012,1,Texas,37,17,Wyoming
68,2012,1,Fresno State,37,10,Weber State
69,2012,1,Washington,21,12,San Diego State
70,2012,1,Oregon,57,34,Arkansas State
71,2012,1,UTEP,7,24,Oklahoma
72,2012,1,Arizona,24,17,Toledo
73,2012,1,Louisville,32,14,Kentucky
74,2012,1,Baylor,59,24,SMU
75,2012,1,Virginia Tech,20,17,Georgia Tech
76,2012,2,Cincinnati,34,10,Pittsburgh
77,2012,2,Utah State,27,20,Utah
78,2012,2,Kansas State,52,13,Miami
79,2012,2,Tulsa,45,10,Tulane
80,2012,2,Virginia,17,16,Penn State
81,2012,2,UConn,7,10,NC State
82,2012,2,Temple,27,36,Maryland
83,2012,2,Ohio State,31,16,UCF
84,2012,2,Minnesota,44,7,New Hampshire
85,2012,2,Mississippi State,28,10,Auburn
86,2012,2,South Carolina,48,10,East Carolina
87,2012,2,Clemson,52,27,Ball State
88,2012,2,Miami (OH),30,14,Southern Illinois
89,2012,2,Eastern Michigan,14,31,Illinois State
90,2012,2,Boston College,34,3,Maine
91,2012,2,Virginia Tech,42,7,Austin Peay
92,2012,2,UTSA,27,16,East Texas A&M
93,2012,2,California,50,31,Southern Utah
94,2012,2,Washington State,24,20,Eastern Washington
95,2012,2,Colorado,28,30,Sacramento State
96,2012,2,BYU,45,13,Weber State
97,2012,2,Louisville,35,7,Missouri State
98,2012,2,Iowa,6,9,Iowa State
99,2012,2,Michigan,31,25,Air Force
100,2012,2,Kansas,24,25,Rice
101,2012,2,Notre Dame,20,17,Purdue
102,2012,2,Rutgers,26,0,Howard
103,2012,2,Alabama,35,0,Western Kentucky
104,2012,2,Central Michigan,7,41,Michigan State
105,2012,2,Massachusetts,6,45,Indiana
106,2012,2,Syracuse,29,42,USC
107,2012,2,Texas A&M,17,20,Florida
108,2012,2,Nevada,31,32,South Florida
109,2012,2,Tennessee,51,13,Georgia State
110,2012,2,Oregon State,10,7,Wisconsin
111,2012,2,Wake Forest,28,27,North Carolina
112,2012,2,Wyoming,31,34,Toledo
113,2012,2,South Alabama,9,3,Nicholls
114,2012,2,Florida State,55,0,Savannah St
115,2012,2,Buffalo,56,34,Morgan State
116,2012,2,Florida International,41,38,Akron
117,2012,2,Oregon,42,25,Fresno State
118,2012,2,Texas State,10,58,Texas Tech
119,2012,2,Middle Tennessee,31,17,Florida Atlantic
120,2012,2,Ohio,51,24,New Mexico State
121,2012,2,Arkansas,31,34,UL Monroe
122,2012,2,Bowling Green,21,13,Idaho
123,2012,2,Western Michigan,52,21,Eastern Illinois
124,2012,2,Georgia Tech,59,3,Presbyterian
125,2012,2,North Texas,34,7,Texas Southern
126,2012,2,Troy,24,37,Louisiana
127,2012,2,Ole Miss,28,10,UTEP
128,2012,2,Arkansas State,33,28,Memphis
129,2012,2,TCU,56,0,Grambling
130,2012,2,Colorado State,7,22,North Dakota State
131,2012,2,Oklahoma,69,13,Florida A&M
132,2012,2,Marshall,52,24,Western Carolina
133,2012,2,Northern Illinois,35,7,UT Martin
134,2012,2,LSU,41,3,Washington
135,2012,2,San Diego State,42,7,Army
136,2012,2,Kentucky,47,14,Kent State
137,2012,2,Missouri,20,41,Georgia
138,2012,2,UCLA,36,30,Nebraska
139,2012,2,Northwestern,23,13,Vanderbilt
140,2012,2,SMU,52,0,Stephen F. Austin
141,2012,2,San José State,45,13,UC Davis
142,2012,2,Houston,49,56,Louisiana Tech
143,2012,2,Texas,45,0,New Mexico
144,2012,2,UNLV,14,17,Northern Arizona
145,2012,2,Arizona State,45,14,Illinois
146,2012,2,Arizona,59,38,Oklahoma State
147,2012,2,Stanford,50,13,Duke
148,2012,3,South Florida,13,23,Rutgers
149,2012,3,UNLV,27,35,Washington State
150,2012,3,Ohio State,35,28,California
151,2012,3,Illinois,44,0,Charleston Southern
152,2012,3,Oklahoma State,65,24,Louisiana
153,2012,3,Kansas,6,20,TCU
154,2012,3,Purdue,54,16,Eastern Michigan
155,2012,3,Minnesota,28,23,Western Michigan
156,2012,3,Nebraska,42,13,Arkansas State
157,2012,3,Florida State,52,0,Wake Forest
158,2012,3,Pittsburgh,35,17,Virginia Tech
159,2012,3,Army,40,41,Northern Illinois
160,2012,3,Miami,38,10,Bethune-Cookman
161,2012,3,Auburn,31,28,UL Monroe
162,2012,3,Vanderbilt,58,0,Presbyterian
163,2012,3,Maryland,21,24,UConn
164,2012,3,Oregon,63,14,Tennessee Tech
165,2012,3,Clemson,41,7,Furman
166,2012,3,Southern Miss,14,24,East Carolina
167,2012,3,Louisville,39,34,North Carolina
168,2012,3,Penn State,34,7,Navy
169,2012,3,Michigan,63,13,Massachusetts
170,2012,3,Arkansas,0,52,Alabama
171,2012,3,Northwestern,22,13,Boston College
172,2012,3,Georgia Tech,56,20,Virginia
173,2012,3,Akron,66,6,Morgan State
174,2012,3,SMU,3,48,Texas A&M
175,2012,3,Iowa,27,16,Northern Iowa
176,2012,3,Washington,52,13,Portland State
177,2012,3,UCF,33,20,Florida International
178,2012,3,Syracuse,28,17,Stony Brook
179,2012,3,Boise State,39,12,Miami (OH)
180,2012,3,West Virginia,42,12,James Madison
181,2012,3,Georgia State,14,38,UTSA
182,2012,3,Tennessee,20,37,Florida
183,2012,3,Wyoming,22,24,Cal Poly
184,2012,3,NC State,31,7,South Alabama
185,2012,3,Marshall,24,27,Ohio
186,2012,3,South Carolina,49,6,UAB
187,2012,3,Duke,54,17,North Carolina Central
188,2012,3,Texas Tech,49,14,New Mexico
189,2012,3,Kentucky,31,32,Western Kentucky
190,2012,3,Cincinnati,23,7,Delaware State
191,2012,3,Kansas State,35,21,North Texas
192,2012,3,Louisiana Tech,56,37,Rice
193,2012,3,Memphis,30,48,Middle Tennessee
194,2012,3,Tulsa,66,16,Nicholls
195,2012,3,Missouri,24,20,Arizona State
196,2012,3,Troy,24,30,Mississippi State
197,2012,3,Toledo,27,15,Bowling Green
198,2012,3,Nevada,45,34,Northwestern State
199,2012,3,Baylor,48,23,Sam Houston
200,2012,3,Georgia,56,20,Florida Atlantic
201,2012,3,Stanford,21,14,USC
202,2012,3,San José State,40,20,Colorado State
203,2012,3,Indiana,39,41,Ball State
204,2012,3,Wisconsin,16,14,Utah State
205,2012,3,San Diego State,49,41,North Dakota
206,2012,3,UTEP,41,28,New Mexico State
207,2012,3,Michigan State,3,20,Notre Dame
208,2012,3,Fresno State,69,14,Colorado
209,2012,3,Iowa State,37,3,Western Illinois
210,2012,3,LSU,63,14,Idaho
211,2012,3,Ole Miss,31,66,Texas
212,2012,3,Utah,24,21,BYU
213,2012,3,Arizona,56,0,South Carolina State
214,2012,3,UCLA,37,6,Houston
215,2012,3,Hawai'i,54,2,Lamar
216,2012,4,Buffalo,7,23,Kent State
217,2012,4,Boise State,7,6,BYU
218,2012,4,UL Monroe,42,47,Baylor
219,2012,4,Virginia Tech,37,0,Bowling Green
220,2012,4,Florida,38,0,Kentucky
221,2012,4,Wisconsin,37,26,UTEP
222,2012,4,West Virginia,31,21,Maryland
223,2012,4,Miami (OH),27,16,Massachusetts
224,2012,4,Ohio State,29,15,UAB
225,2012,4,Tulane,0,39,Ole Miss
226,2012,4,TCU,27,7,Virginia
227,2012,4,Iowa,31,32,Central Michigan
228,2012,4,Wake Forest,49,37,Army
229,2012,4,Ohio,44,10,Norfolk State
230,2012,4,UTSA,56,3,Northwestern Oklahoma State
231,2012,4,Western Michigan,30,24,UConn
232,2012,4,Georgia Tech,36,42,Miami
233,2012,4,UCLA,20,27,Oregon State
234,2012,4,Penn State,24,13,Temple
235,2012,4,Northern Illinois,30,23,Kansas
