,season,week,home_team,home_points,away_points,away_team
0,2015,1,UCF,14,15,Florida International
1,2015,1,South Carolina,17,13,North Carolina
2,2015,1,Wake Forest,41,3,Elon
3,2015,1,Central Michigan,13,24,Oklahoma State
4,2015,1,Ball State,48,36,VMI
5,2015,1,Georgia Tech,69,6,Alcorn State
6,2015,1,UConn,20,15,Villanova
7,2015,1,Vanderbilt,12,14,Western Kentucky
8,2015,1,Utah,24,17,Michigan
9,2015,1,Utah State,12,9,Southern Utah
10,2015,1,Idaho,28,45,Ohio
11,2015,1,Minnesota,17,23,TCU
12,2015,1,Tulane,7,37,Duke
13,2015,1,San José State,43,13,New Hampshire
14,2015,1,Nevada,31,17,UC Davis
15,2015,1,Fresno State,34,13,Abilene Christian
16,2015,1,Arizona,42,32,UTSA
17,2015,1,Hawai'i,28,20,Colorado
18,2015,1,Georgia State,20,23,Charlotte
19,2015,1,Syracuse,47,0,Rhode Island
20,2015,1,Army,35,37,Fordham
21,2015,1,Western Michigan,24,37,Michigan State
22,2015,1,SMU,21,56,Baylor
23,2015,1,Oregon State,26,7,Weber State
24,2015,1,Boise State,16,13,Washington
25,2015,1,Northwestern,16,6,Stanford
26,2015,1,Georgia,51,14,UL Monroe
27,2015,1,Maryland,50,21,Richmond
28,2015,1,Navy,48,10,Colgate
29,2015,1,Rutgers,63,13,Norfolk State
30,2015,1,Kansas,38,41,South Dakota State
31,2015,1,Iowa,31,14,Illinois State
32,2015,1,Ole Miss,76,3,UT Martin
33,2015,1,Clemson,49,10,Wofford
34,2015,1,Pittsburgh,45,37,Youngstown State
35,2015,1,Boston College,24,3,Maine
36,2015,1,Washington State,17,24,Portland State
37,2015,1,Illinois,52,3,Kent State
38,2015,1,Texas Tech,59,45,Sam Houston
39,2015,1,App State,49,0,Howard
40,2015,1,Miami (OH),26,7,Presbyterian
41,2015,1,Auburn,31,24,Louisville
42,2015,1,Arkansas,48,13,UTEP
43,2015,1,Tulsa,47,44,Florida Atlantic
44,2015,1,Buffalo,51,14,UAlbany
45,2015,1,UCLA,34,16,Virginia
46,2015,1,Temple,27,10,Penn State
47,2015,1,Nebraska,28,33,BYU
48,2015,1,Air Force,63,7,Morgan State
49,2015,1,Eastern Michigan,34,38,Old Dominion
50,2015,1,Colorado State,65,13,Savannah St
51,2015,1,Wyoming,13,24,North Dakota
52,2015,1,Indiana,48,47,Southern Illinois
53,2015,1,Missouri,34,3,Southeast Missouri State
54,2015,1,Tennessee,59,30,Bowling Green
55,2015,1,Rice,56,16,Wagner
56,2015,1,California,73,14,Grambling
57,2015,1,East Carolina,28,20,Towson
58,2015,1,Miami,45,0,Bethune-Cookman
59,2015,1,South Alabama,33,23,Gardner-Webb
60,2015,1,NC State,49,21,Troy
61,2015,1,South Florida,51,3,Florida A&M
62,2015,1,Memphis,63,7,Missouri State
63,2015,1,Middle Tennessee,70,14,Jackson State
64,2015,1,Kentucky,40,33,Louisiana
65,2015,1,Louisiana Tech,62,15,Southern
66,2015,1,Texas A&M,38,17,Arizona State
67,2015,1,Oklahoma,41,3,Akron
68,2015,1,Kansas State,34,0,South Dakota
69,2015,1,Florida,61,13,New Mexico State
70,2015,1,Northern Illinois,38,30,UNLV
71,2015,1,West Virginia,44,0,Georgia Southern
72,2015,1,Notre Dame,38,3,Texas
73,2015,1,Iowa State,31,7,Northern Iowa
74,2015,1,Oregon,61,42,Eastern Washington
75,2015,1,Alabama,35,17,Wisconsin
76,2015,1,Houston,52,24,Tennessee Tech
77,2015,1,San Diego State,37,3,San Diego
78,2015,1,New Mexico,66,0,Mississippi Valley State
79,2015,1,Cincinnati,52,10,Alabama A&M
80,2015,1,Florida State,59,16,Texas State
81,2015,1,Southern Miss,16,34,Mississippi State
82,2015,1,USC,55,6,Arkansas State
83,2015,1,Marshall,41,31,Purdue
84,2015,1,Virginia Tech,24,42,Ohio State
85,2015,2,Western Kentucky,41,38,Louisiana Tech
86,2015,2,Florida Atlantic,20,44,Miami
87,2015,2,Utah,24,14,Utah State
88,2015,2,Florida State,34,14,South Florida
89,2015,2,Maryland,27,48,Bowling Green
90,2015,2,UTSA,3,30,Kansas State
91,2015,2,Penn State,27,14,Buffalo
92,2015,2,Charlotte,34,10,Presbyterian
93,2015,2,Purdue,38,14,Indiana State
94,2015,2,Wisconsin,58,0,Miami (OH)
95,2015,2,Illinois,44,0,Western Illinois
96,2015,2,Auburn,27,20,Jacksonville State
97,2015,2,Michigan,35,7,Oregon State
98,2015,2,Louisville,31,34,Houston
99,2015,2,UConn,22,17,Army
100,2015,2,Clemson,41,10,App State
101,2015,2,Syracuse,30,17,Wake Forest
102,2015,2,Boston College,76,0,Howard
103,2015,2,Colorado,48,14,Massachusetts
104,2015,2,Washington,49,0,Sacramento State
105,2015,2,Texas Tech,69,20,UTEP
106,2015,2,West Virginia,41,17,Liberty
107,2015,2,Central Michigan,31,10,Monmouth
108,2015,2,Northern Illinois,57,26,Murray State
109,2015,2,Rutgers,34,37,Washington State
110,2015,2,Ole Miss,73,21,Fresno State
111,2015,2,Virginia,27,34,Notre Dame
112,2015,2,Georgia Tech,65,10,Tulane
113,2015,2,Vanderbilt,14,31,Georgia
114,2015,2,Virginia Tech,42,3,Furman
115,2015,2,TCU,70,7,Stephen F. Austin
116,2015,2,Southern Miss,52,6,Austin Peay
