,season,week,home_team,home_points,away_points,away_team
0,2018,1,Massachusetts,63,15,Duquesne
1,2018,1,Rice,31,28,Prairie View A&M
2,2018,1,Colorado State,34,43,Hawai'i
3,2018,1,New Mexico State,7,29,Wyoming
4,2018,1,Georgia State,24,20,Kennesaw State
5,2018,1,Ball State,42,6,Central Connecticut
6,2018,1,Minnesota,48,10,New Mexico State
7,2018,1,UConn,17,56,UCF
8,2018,1,Oklahoma State,58,17,Missouri State
9,2018,1,UAB,52,0,Savannah St
10,2018,1,Utah,41,10,Weber State
11,2018,1,UL Monroe,34,31,SE Louisiana
12,2018,1,Tulane,17,23,Wake Forest
13,2018,1,Purdue,27,31,Northwestern
14,2018,1,Texas A&M,59,7,Northwestern State
15,2018,1,San José State,38,44,UC Davis
16,2018,1,Western Michigan,42,55,Syracuse
17,2018,1,Eastern Michigan,51,17,Monmouth
18,2018,1,Michigan State,38,31,Utah State
19,2018,1,Duke,34,14,Army
20,2018,1,Stanford,31,10,San Diego State
21,2018,1,Wisconsin,34,3,Western Kentucky
22,2018,1,Nevada,72,19,Portland State
23,2018,1,Colorado State,13,45,Colorado
24,2018,1,South Carolina,49,15,Coastal Carolina
25,2018,1,Maryland,34,29,Texas
26,2018,1,Ohio State,77,31,Oregon State
27,2018,1,Texas Tech,27,47,Ole Miss
28,2018,1,Rutgers,35,7,Texas State
29,2018,1,Oklahoma,63,14,Florida Atlantic
30,2018,1,Temple,17,19,Villanova
31,2018,1,NC State,24,13,James Madison
32,2018,1,TCU,55,7,Southern
33,2018,1,Rice,27,45,Houston
34,2018,1,Illinois,31,24,Kent State
35,2018,1,Clemson,48,7,Furman
36,2018,1,Georgia Tech,41,0,Alcorn State
37,2018,1,Boston College,55,21,Massachusetts
38,2018,1,Ohio,38,32,Howard
39,2018,1,Air Force,38,0,Stony Brook
40,2018,1,Penn State,45,38,App State
41,2018,1,Georgia,45,0,Austin Peay
42,2018,1,Pittsburgh,33,7,UAlbany
43,2018,1,Wyoming,19,41,Washington State
44,2018,1,Auburn,21,16,Washington
45,2018,1,Kentucky,35,20,Central Michigan
46,2018,1,Tennessee,14,40,West Virginia
47,2018,1,Iowa,33,7,Northern Illinois
48,2018,1,Missouri,51,14,UT Martin
49,2018,1,California,24,17,North Carolina
50,2018,1,Arkansas,55,20,Eastern Illinois
51,2018,1,USC,43,21,UNLV
52,2018,1,Georgia Southern,37,6,South Carolina State
53,2018,1,Virginia,42,13,Richmond
54,2018,1,Charlotte,34,10,Fordham
55,2018,1,Liberty,52,10,Old Dominion
56,2018,1,Buffalo,48,10,Delaware State
57,2018,1,South Florida,34,14,Elon
58,2018,1,Troy,20,56,Boise State
59,2018,1,Miami (OH),28,35,Marshall
