,season,week,home_team,home_points,away_points,away_team
0,2017,1,Colorado State,58,27,Oregon State
1,2017,1,BYU,20,6,Portland State
2,2017,1,Massachusetts,35,38,Hawai'i
3,2017,1,San José State,22,42,South Florida
4,2017,1,Rice,7,62,Stanford
5,2017,1,UCF,61,17,Florida International
6,2017,1,Wake Forest,51,7,Presbyterian
7,2017,1,Cincinnati,26,14,Austin Peay
8,2017,1,Georgia State,10,17,Tennessee State
9,2017,1,Minnesota,17,7,Buffalo
10,2017,1,Toledo,47,13,Elon
11,2017,1,Central Michigan,30,27,Rhode Island
12,2017,1,Utah,37,16,North Dakota
13,2017,1,Oklahoma State,59,24,Tulsa
14,2017,1,UConn,27,20,Holy Cross
15,2017,1,Arkansas,49,7,Florida A&M
16,2017,1,Indiana,21,49,Ohio State
17,2017,1,Idaho,28,6,Sacramento State
18,2017,1,Memphis,37,29,UL Monroe
19,2017,1,Arizona State,37,31,New Mexico State
20,2017,1,Army,64,6,Fordham
21,2017,1,Eastern Michigan,24,7,Charlotte
22,2017,1,Syracuse,50,7,Central Connecticut
23,2017,1,Rutgers,14,30,Washington
24,2017,1,Colorado,17,3,Colorado State
25,2017,1,Florida Atlantic,19,42,Navy
26,2017,1,Wisconsin,59,10,Utah State
27,2017,1,Northern Illinois,20,23,Boston College
28,2017,1,Missouri,72,43,Missouri State
29,2017,1,Clemson,56,3,Kent State
30,2017,1,Penn State,52,0,Akron
31,2017,1,Iowa,24,3,Wyoming
32,2017,1,Texas,41,51,Maryland
33,2017,1,Illinois,24,21,Ball State
34,2017,1,Michigan State,35,10,Bowling Green
35,2017,1,North Carolina,30,35,California
36,2017,1,Miami,41,13,Bethune-Cookman
37,2017,1,Pittsburgh,28,21,Youngstown State
38,2017,1,Air Force,62,0,VMI
39,2017,1,Oregon State,35,32,Portland State
40,2017,1,South Carolina,35,28,NC State
41,2017,1,Oklahoma,56,7,UTEP
42,2017,1,Virginia,28,10,William & Mary
43,2017,1,UAB,38,7,Alabama A&M
44,2017,1,Florida,17,33,Michigan
45,2017,1,Northwestern,31,20,Nevada
46,2017,1,Notre Dame,49,16,Temple
47,2017,1,Boise State,24,13,Troy
48,2017,1,South Florida,31,17,Stony Brook
49,2017,1,Texas Tech,56,10,Eastern Washington
50,2017,1,Mississippi State,49,0,Charleston Southern
51,2017,1,Southern Miss,17,24,Kentucky
52,2017,1,USC,49,31,Western Michigan
53,2017,1,Old Dominion,31,17,UAlbany
54,2017,1,East Carolina,14,34,James Madison
55,2017,1,Duke,60,7,North Carolina Central
56,2017,1,Georgia,31,10,App State
57,2017,1,Marshall,31,26,Miami (OH)
58,2017,1,Coastal Carolina,38,28,Massachusetts
59,2017,1,North Texas,59,14,Lamar
60,2017,1,Western Kentucky,31,17,Eastern Kentucky
61,2017,1,SMU,58,14,Stephen F. Austin
62,2017,1,Kansas,38,16,Southeast Missouri State
63,2017,1,Ohio,59,0,Hampton
64,2017,1,Louisiana,51,48,SE Louisiana
65,2017,1,Louisiana Tech,52,24,Northwestern State
66,2017,1,Texas State,20,11,Houston Christian
67,2017,1,Baylor,45,48,Liberty
68,2017,1,Kansas State,55,19,Central Arkansas
69,2017,1,Auburn,41,7,Georgia Southern
70,2017,1,San José State,34,13,Cal Poly
71,2017,1,Ole Miss,47,27,South Alabama
72,2017,1,Purdue,28,35,Louisville
73,2017,1,Alabama,24,7,Florida State
74,2017,1,Tulane,43,14,Grambling
75,2017,1,Iowa State,42,24,Northern Iowa
76,2017,1,New Mexico,38,14,Abilene Christian
77,2017,1,Nebraska,43,36,Arkansas State
78,2017,1,Middle Tennessee,6,28,Vanderbilt
79,2017,1,TCU,63,0,Jackson State
80,2017,1,Oregon,77,21,Southern Utah
81,2017,1,San Diego State,38,17,UC Davis
82,2017,1,UNLV,40,43,Howard
83,2017,1,LSU,27,0,BYU
84,2017,1,Fresno State,66,0,Incarnate Word
85,2017,1,Washington State,31,0,Montana State
86,2017,1,Arizona,62,24,Northern Arizona
87,2017,1,Hawai'i,41,18,Western Carolina
88,2017,1,UCLA,45,44,Texas A&M
89,2017,1,Virginia Tech,31,24,West Virginia
90,2017,1,Georgia Tech,41,42,Tennessee
91,2017,2,Utah State,51,13,Idaho State
92,2017,2,Florida International,17,10,Alcorn State
93,2017,2,Purdue,44,21,Ohio
94,2017,2,South Alabama,7,44,Oklahoma State
95,2017,2,Wisconsin,31,14,Florida Atlantic
96,2017,2,North Carolina,35,47,Louisville
97,2017,2,Duke,41,17,Northwestern
98,2017,2,Iowa State,41,44,Iowa
99,2017,2,Michigan,36,14,Cincinnati
100,2017,2,Kansas State,55,7,Charlotte
101,2017,2,Kentucky,27,16,Eastern Kentucky
102,2017,2,Maryland,63,17,Towson
103,2017,2,Army,21,17,Buffalo
104,2017,2,West Virginia,56,20,East Carolina
105,2017,2,Ole Miss,45,23,UT Martin
106,2017,2,Georgia Tech,37,10,Jacksonville State
107,2017,2,Boston College,10,34,Wake Forest
108,2017,2,Colorado,37,3,Texas State
109,2017,2,Ball State,51,31,UAB
110,2017,2,Alabama,41,10,Fresno State
111,2017,2,Texas,56,0,San José State
112,2017,2,Syracuse,23,30,Middle Tennessee
