,season,week,home_team,home_points,away_points,away_team
0,2014,1,Georgia State,38,37,Abilene Christian
1,2014,1,South Carolina,28,52,Texas A&M
2,2014,1,Akron,41,0,Howard
3,2014,1,Northern Illinois,55,3,Presbyterian
4,2014,1,UL Monroe,17,10,Wake Forest
5,2014,1,Minnesota,42,20,Eastern Illinois
6,2014,1,Central Michigan,20,16,Chattanooga
7,2014,1,Utah,56,14,Idaho State
8,2014,1,New Mexico State,28,10,Cal Poly
9,2014,1,Ole Miss,35,13,Boise State
10,2014,1,Tulsa,38,31,Tulane
11,2014,1,Washington State,38,41,Rutgers
12,2014,1,San José State,42,10,North Dakota
13,2014,1,Arizona State,45,14,Weber State
14,2014,1,Vanderbilt,7,37,Temple
15,2014,1,UConn,10,35,BYU
16,2014,1,Michigan State,45,7,Jacksonville State
17,2014,1,Western Kentucky,59,31,Bowling Green
18,2014,1,Syracuse,27,26,Villanova
19,2014,1,Colorado,17,31,Colorado State
20,2014,1,Houston,7,27,UTSA
21,2014,1,Arizona,58,13,UNLV
22,2014,1,UCF,24,26,Penn State
23,2014,1,Michigan,52,14,App State
24,2014,1,UAB,48,10,Troy
25,2014,1,Pittsburgh,62,0,Delaware
26,2014,1,Virginia,20,28,UCLA
27,2014,1,Navy,17,34,Ohio State
28,2014,1,Purdue,43,34,Western Michigan
29,2014,1,Iowa State,14,34,North Dakota State
30,2014,1,Indiana,28,10,Indiana State
31,2014,1,Illinois,28,17,Youngstown State
32,2014,1,Kentucky,59,14,UT Martin
33,2014,1,Iowa,31,23,Northern Iowa
34,2014,1,Georgia Tech,38,19,Wofford
35,2014,1,NC State,24,23,Georgia Southern
36,2014,1,Air Force,44,16,Nicholls
37,2014,1,Ball State,30,10,Colgate
38,2014,1,Nevada,28,19,Southern Utah
39,2014,1,Massachusetts,7,30,Boston College
40,2014,1,Notre Dame,48,17,Rice
41,2014,1,Nebraska,55,7,Florida Atlantic
42,2014,1,Alabama,33,23,West Virginia
43,2014,1,Maryland,52,7,James Madison
44,2014,1,Miami (OH),27,42,Marshall
45,2014,1,Northwestern,24,31,California
46,2014,1,Old Dominion,41,28,Hampton
47,2014,1,Missouri,38,18,South Dakota State
48,2014,1,Buffalo,38,28,Duquesne
49,2014,1,Oregon State,29,14,Portland State
50,2014,1,Virginia Tech,34,9,William & Mary
51,2014,1,Wyoming,17,12,Montana
52,2014,1,Stanford,45,0,UC Davis
53,2014,1,Auburn,45,21,Arkansas
54,2014,1,Georgia,45,21,Clemson
55,2014,1,Kent State,14,17,Ohio
56,2014,1,North Carolina,56,29,Liberty
57,2014,1,Eastern Michigan,31,28,Morgan State
58,2014,1,Duke,52,13,Elon
59,2014,1,Arkansas State,37,10,Montana State
60,2014,1,Toledo,54,20,New Hampshire
61,2014,1,Middle Tennessee,61,7,Savannah St
62,2014,1,San Diego State,38,7,Northern Arizona
63,2014,1,Memphis,63,0,Austin Peay
64,2014,1,TCU,48,14,Samford
65,2014,1,Texas Tech,42,35,Central Arkansas
66,2014,1,Louisiana,45,6,Southern
67,2014,1,Texas State,65,0,Arkansas-Pine Bluff
68,2014,1,Florida International,12,14,Bethune-Cookman
69,2014,1,South Florida,36,31,Western Carolina
70,2014,1,Oklahoma,48,16,Louisiana Tech
71,2014,1,Kansas State,55,16,Stephen F. Austin
72,2014,1,Mississippi State,49,0,Southern Miss
73,2014,1,USC,52,13,Fresno State
74,2014,1,Oklahoma State,31,37,Florida State
75,2014,1,Texas,38,7,North Texas
76,2014,1,New Mexico,24,31,UTEP
77,2014,1,East Carolina,52,7,North Carolina Central
78,2014,1,LSU,28,24,Wisconsin
79,2014,1,Hawai'i,16,17,Washington
80,2014,1,Oregon,62,13,South Dakota
81,2014,1,Tennessee,38,7,Utah State
82,2014,1,Baylor,45,0,SMU
83,2014,1,Louisville,31,13,Miami
84,2014,2,UTSA,23,26,Arizona
85,2014,2,Boston College,20,30,Pittsburgh
86,2014,2,Nevada,24,13,Washington State
87,2014,2,Penn State,21,3,Akron
88,2014,2,North Texas,43,6,SMU
89,2014,2,Nebraska,31,24,McNeese
90,2014,2,Wisconsin,37,3,Western Illinois
91,2014,2,Alabama,41,0,Florida Atlantic
92,2014,2,UConn,19,16,Stony Brook
93,2014,2,Purdue,17,38,Central Michigan
94,2014,2,Army,47,39,Buffalo
95,2014,2,Rutgers,38,25,Howard
96,2014,2,Toledo,24,49,Missouri
97,2014,2,Iowa State,28,32,Kansas State
98,2014,2,Tennessee,34,19,Arkansas State
99,2014,2,Illinois,42,34,Western Kentucky
100,2014,2,Tulsa,7,52,Oklahoma
101,2014,2,Clemson,73,7,South Carolina State
102,2014,2,Temple,24,31,Navy
103,2014,2,Kent State,13,23,South Alabama
104,2014,2,Georgia State,31,34,New Mexico State
105,2014,2,Mississippi State,47,34,UAB
106,2014,2,Massachusetts,38,41,Colorado
107,2014,2,Utah,59,27,Fresno State
108,2014,2,California,55,14,Sacramento State
109,2014,2,Washington,59,52,Eastern Washington
110,2014,2,South Florida,17,24,Maryland
111,2014,2,Oklahoma State,40,23,Missouri State
