,season,week,home_team,home_points,away_points,away_team
0,2025,1,Kansas State,21.0,24.0,Iowa State
1,2025,1,UNLV,38.0,31.0,Idaho State
2,2025,1,Kansas,31.0,7.0,Fresno State
3,2025,1,Western Kentucky,41.0,24.0,Sam Houston
4,2025,1,Hawai'i,23.0,20.0,Stanford
5,2025,1,South Florida,34.0,7.0,Boise State
6,2025,1,Bowling Green,26.0,7.0,Lafayette
7,2025,1,Rutgers,34.0,31.0,Ohio
8,2025,1,UL Monroe,29.0,0.0,St. Francis (PA)
9,2025,1,UCF,17.0,10.0,Jacksonville State
10,2025,1,Akron,0.0,10.0,Wyoming
11,2025,1,Delaware,35.0,17.0,Delaware State
12,2025,1,NC State,24.0,17.0,East Carolina
13,2025,1,Oklahoma State,27.0,7.0,UT Martin
14,2025,1,Duke,45.0,17.0,Elon
15,2025,1,Missouri,61.0,6.0,Central Arkansas
16,2025,1,Houston,27.0,0.0,Stephen F. Austin
17,2025,1,Minnesota,23.0,10.0,Buffalo
18,2025,1,UAB,52.0,42.0,Alabama State
19,2025,1,Cincinnati,17.0,20.0,Nebraska
20,2025,1,Wisconsin,17.0,0.0,Miami (OH)
21,2025,1,San Diego State,42.0,0.0,Stony Brook
22,2025,1,Army,27.0,30.0,Tarleton State
23,2025,1,Florida International,42.0,9.0,Bethune-Cookman
24,2025,1,Charlotte,11.0,34.0,App State
25,2025,1,Michigan State,23.0,6.0,Western Michigan
26,2025,1,Wake Forest,10.0,9.0,Kennesaw State
27,2025,1,Illinois,52.0,3.0,Western Illinois
28,2025,1,Kansas,46.0,7.0,Wagner
29,2025,1,Baylor,24.0,38.0,Auburn
30,2025,1,Colorado,20.0,27.0,Georgia Tech
31,2025,1,Sam Houston,21.0,38.0,UNLV
32,2025,1,San José State,14.0,16.0,Central Michigan
33,2025,1,Tulane,23.0,3.0,Northwestern
34,2025,1,Tennessee,45.0,26.0,Syracuse
35,2025,1,Maryland,39.0,7.0,Florida Atlantic
36,2025,1,Purdue,31.0,0.0,Ball State
37,2025,1,Kent State,21.0,17.0,Merrimack
38,2025,1,Navy,52.0,7.0,VMI
39,2025,1,Ohio State,14.0,7.0,Texas
40,2025,1,Pittsburgh,61.0,9.0,Duquesne
41,2025,1,Southern Miss,17.0,34.0,Mississippi State
42,2025,1,Kentucky,24.0,16.0,Toledo
43,2025,1,Boston College,66.0,10.0,Fordham
44,2025,1,West Virginia,45.0,3.0,Robert Morris
45,2025,1,UConn,59.0,13.0,Central Connecticut
46,2025,1,Indiana,27.0,14.0,Old Dominion
47,2025,1,Louisville,51.0,17.0,Eastern Kentucky
48,2025,1,Penn State,46.0,11.0,Nevada
49,2025,1,Air Force,49.0,13.0,Bucknell
50,2025,1,Iowa State,55.0,7.0,South Dakota
51,2025,1,Massachusetts,10.0,42.0,Temple
52,2025,1,Georgia,45.0,7.0,Marshall
53,2025,1,Florida State,31.0,17.0,Alabama
54,2025,1,Northern Illinois,19.0,17.0,Holy Cross
55,2025,1,Liberty,28.0,7.0,Maine
56,2025,1,Oregon,59.0,13.0,Montana State
57,2025,1,Arkansas,52.0,7.0,Alabama A&M
58,2025,1,Memphis,45.0,10.0,Chattanooga
59,2025,1,Oklahoma,35.0,3.0,Illinois State
60,2025,1,Iowa,34.0,7.0,UAlbany
61,2025,1,Virginia,48.0,7.0,Coastal Carolina
62,2025,1,James Madison,45.0,10.0,Weber State
63,2025,1,Vanderbilt,45.0,3.0,Charleston Southern
64,2025,1,Florida,55.0,0.0,Long Island University
65,2025,1,South Alabama,38.0,21.0,Morgan State
66,2025,1,Troy,38.0,20.0,Nicholls
67,2025,1,Texas A&M,42.0,24.0,UTSA
68,2025,1,Arkansas State,42.0,24.0,Southeast Missouri State
69,2025,1,Western Kentucky,55.0,6.0,North Alabama
70,2025,1,Kansas State,38.0,35.0,North Dakota
71,2025,1,Middle Tennessee,14.0,34.0,Austin Peay
72,2025,1,Clemson,10.0,17.0,LSU
73,2025,1,Texas Tech,67.0,7.0,Arkansas-Pine Bluff
74,2025,1,Utah State,28.0,16.0,UTEP
75,2025,1,Michigan,34.0,17.0,New Mexico
76,2025,1,USC,73.0,13.0,Missouri State
77,2025,1,Louisiana Tech,24.0,0.0,SE Louisiana
78,2025,1,Ole Miss,63.0,7.0,Georgia State
79,2025,1,North Texas,51.0,0.0,Lamar
80,2025,1,Texas State,52.0,27.0,Eastern Michigan
81,2025,1,Louisiana,12.0,14.0,Rice
82,2025,1,BYU,69.0,0.0,Portland State
83,2025,1,Tulsa,35.0,7.0,Abilene Christian
84,2025,1,SMU,42.0,13.0,East Texas A&M
85,2025,1,New Mexico State,19.0,3.0,Bryant
86,2025,1,Fresno State,42.0,14.0,Georgia Southern
87,2025,1,Arizona State,38.0,19.0,Northern Arizona
88,2025,1,Washington State,13.0,10.0,Idaho
89,2025,1,Oregon State,15.0,34.0,California
90,2025,1,Arizona,40.0,6.0,Hawai'i
91,2025,1,UCLA,10.0,43.0,Utah
92,2025,1,Washington,38.0,21.0,Colorado State
93,2025,1,South Carolina,24.0,11.0,Virginia Tech
94,2025,1,Miami,27.0,24.0,Notre Dame
95,2025,1,North Carolina,14.0,48.0,TCU
96,2025,2,Louisville,28.0,14.0,James Madison
97,2025,2,Maryland,20.0,9.0,Northern Illinois
98,2025,2,Northwestern,42.0,7.0,Western Illinois
99,2025,2,Boise State,51.0,14.0,Eastern Washington
100,2025,2,Jacksonville State,34.0,24.0,Liberty
101,2025,2,Penn State,34.0,0.0,Florida International
102,2025,2,NC State,35.0,31.0,Virginia
103,2025,2,Texas Tech,62.0,14.0,Kent State
104,2025,2,Pittsburgh,45.0,17.0,Central Michigan
105,2025,2,Texas,38.0,7.0,San José State
106,2025,2,Iowa State,16.0,13.0,Iowa
107,2025,2,Indiana,56.0,9.0,Kennesaw State
108,2025,2,Florida State,77.0,3.0,East Texas A&M
109,2025,2,SMU,45.0,48.0,Baylor
110,2025,2,Minnesota,66.0,0.0,Northwestern State
111,2025,2,Duke,19.0,45.0,Illinois
112,2025,2,Syracuse,27.0,20.0,UConn
113,2025,2,Texas A&M,44.0,22.0,Utah State
114,2025,2,Temple,55.0,7.0,Howard
115,2025,2,Wake Forest,42.0,10.0,Western Carolina
116,2025,2,New Mexico,32.0,22.0,Idaho State
117,2025,2,Georgia Tech,59.0,12.0,Gardner-Webb
118,2025,2,Georgia,28.0,6.0,Austin Peay
119,2025,2,App State,20.0,13.0,Lindenwood
120,2025,2,Rutgers,45.0,17.0,Miami (OH)
121,2025,2,Buffalo,45.0,6.0,St. Francis (PA)
122,2025,2,Colorado,31.0,7.0,Delaware
123,2025,2,Ohio State,70.0,0.0,Grambling
124,2025,2,Tennessee,72.0,17.0,East Tennessee State
125,2025,2,Oregon,69.0,3.0,Oklahoma State
126,2025,2,Western Michigan,30.0,33.0,North Texas
127,2025,2,Missouri,42.0,31.0,Kansas
128,2025,2,UTSA,36.0,43.0,Texas State
129,2025,2,Oregon State,27.0,36.0,Fresno State
130,2025,2,Kentucky,23.0,30.0,Ole Miss
131,2025,2,Massachusetts,26.0,27.0,Bryant
132,2025,2,Clemson,27.0,16.0,Troy
133,2025,2,Navy,38.0,24.0,UAB
134,2025,2,Cincinnati,34.0,20.0,Bowling Green
135,2025,2,Wyoming,31.0,7.0,Northern Iowa
136,2025,2,Wisconsin,42.0,10.0,Middle Tennessee
137,2025,2,Ohio,17.0,10.0,West Virginia
138,2025,2,Florida,16.0,18.0,South Florida
139,2025,2,Arkansas,56.0,14.0,Arkansas State
140,2025,2,Southern Miss,38.0,20.0,Jackson State
141,2025,2,Nevada,20.0,17.0,Sacramento State
142,2025,2,Florida Atlantic,56.0,14.0,Florida A&M
143,2025,2,California,35.0,3.0,Texas Southern
144,2025,2,Utah,63.0,9.0,Cal Poly
145,2025,2,Old Dominion,54.0,6.0,North Carolina Central
146,2025,2,East Carolina,56.0,3.0,Campbell
147,2025,2,Marshall,20.0,21.0,Missouri State
148,2025,2,UCF,68.0,7.0,North Carolina A&T
149,2025,2,Charlotte,3.0,20.0,North Carolina
