,season,week,home_team,home_points,away_points,away_team
0,2005,1,Marshall,36,24,William & Mary
1,2005,1,Cincinnati,28,26,Eastern Michigan
2,2005,1,Houston,24,38,Oregon
3,2005,1,Wake Forest,20,24,Vanderbilt
4,2005,1,Toledo,62,14,Western Illinois
5,2005,1,UConn,38,0,Buffalo
6,2005,1,South Carolina,24,15,UCF
7,2005,1,UL Monroe,23,27,Northwestern State
8,2005,1,Arizona State,63,16,Temple
9,2005,1,Washington State,38,26,Idaho
10,2005,1,Tulsa,10,41,Minnesota
11,2005,1,Central Michigan,13,20,Indiana
12,2005,1,Utah,27,24,Arizona
13,2005,1,Wisconsin,56,42,Bowling Green
14,2005,1,Michigan State,49,14,Kent State
15,2005,1,Illinois,33,30,Rutgers
16,2005,1,Arkansas State,17,44,Missouri
17,2005,1,Ohio State,34,14,Miami (OH)
18,2005,1,Iowa,56,0,Ball State
19,2005,1,Oklahoma,10,17,TCU
20,2005,1,Northwestern,38,14,Ohio
21,2005,1,Tennessee,17,10,UAB
22,2005,1,East Carolina,24,21,Duke
23,2005,1,Kansas State,35,21,Florida International
24,2005,1,Penn State,23,13,South Florida
25,2005,1,Michigan,33,17,Northern Illinois
26,2005,1,BYU,3,20,Boston College
27,2005,1,Colorado,31,28,Colorado State
28,2005,1,Air Force,20,17,Washington
29,2005,1,California,41,3,Sacramento State
30,2005,1,Georgia,48,13,Boise State
31,2005,1,Florida,32,14,Wyoming
32,2005,1,Navy,20,23,Maryland
33,2005,1,San José State,35,24,Eastern Washington
34,2005,1,Oregon State,41,14,Portland State
35,2005,1,Virginia,31,19,Western Michigan
36,2005,1,Iowa State,32,21,Illinois State
37,2005,1,Oklahoma State,15,10,Montana State
38,2005,1,Nebraska,25,7,Maine
39,2005,1,Arkansas,49,17,Missouri State
40,2005,1,Troy,27,10,Cal Poly
41,2005,1,Mississippi State,38,6,Murray State
42,2005,1,Kansas,30,19,Florida Atlantic
43,2005,1,Alabama,26,7,Middle Tennessee
44,2005,1,Texas,60,3,Louisiana
45,2005,1,Hawai'i,17,63,USC
46,2005,1,Clemson,25,24,Texas A&M
47,2005,1,SMU,23,28,Baylor
48,2005,1,Pittsburgh,21,42,Notre Dame
49,2005,1,Auburn,14,23,Georgia Tech
50,2005,1,San Diego State,21,44,UCLA
51,2005,1,New Mexico State,17,34,UTEP
52,2005,1,Syracuse,7,15,West Virginia
53,2005,1,Kentucky,24,31,Louisville
54,2005,1,NC State,16,20,Virginia Tech
55,2005,1,New Mexico,24,22,UNLV
56,2005,1,Memphis,6,10,Ole Miss
57,2005,1,Florida State,10,7,Miami
58,2005,2,Florida Atlantic,3,23,Oklahoma State
59,2005,2,Ohio,16,10,Pittsburgh
60,2005,2,Nevada,21,55,Washington State
61,2005,2,Marshall,19,21,Kansas State
62,2005,2,Michigan,10,17,Notre Dame
63,2005,2,Maryland,24,28,Clemson
64,2005,2,Duke,0,45,Virginia Tech
65,2005,2,Wisconsin,65,0,Temple
66,2005,2,Penn State,42,24,Cincinnati
67,2005,2,Auburn,28,0,Mississippi State
68,2005,2,Boston College,44,7,Army
69,2005,2,Oklahoma,31,15,Tulsa
70,2005,2,UConn,59,0,Liberty
71,2005,2,Purdue,49,24,Akron
72,2005,2,Illinois,40,19,San José State
73,2005,2,Miami (OH),37,38,Central Michigan
74,2005,2,Minnesota,56,24,Colorado State
