,season,week,home_team,home_points,away_points,away_team
0,2008,1,Central Michigan,31,12,Eastern Illinois
1,2008,1,Ball State,48,14,Northeastern
2,2008,1,Eastern Michigan,52,0,Indiana State
3,2008,1,Buffalo,42,17,UTEP
4,2008,1,Miami (OH),13,34,Vanderbilt
5,2008,1,Miami,52,7,Charleston Southern
6,2008,1,Middle Tennessee,17,31,Troy
7,2008,1,Georgia Tech,41,14,Jacksonville State
8,2008,1,UConn,35,3,Hofstra
9,2008,1,Cincinnati,40,7,Eastern Kentucky
10,2008,1,Iowa State,44,17,South Dakota State
11,2008,1,South Carolina,34,0,NC State
12,2008,1,Baylor,13,41,Wake Forest
13,2008,1,Stanford,36,28,Oregon State
14,2008,1,Army,7,35,Temple
15,2008,1,Rice,56,27,SMU
16,2008,1,LSU,41,13,App State
17,2008,1,LSU,41,13,App State
18,2008,1,Penn State,66,10,Coastal Carolina
19,2008,1,Ohio State,43,0,Youngstown State
20,2008,1,Pittsburgh,17,27,Bowling Green
21,2008,1,Indiana,31,13,Western Kentucky
22,2008,1,Northwestern,30,10,Syracuse
23,2008,1,East Carolina,27,22,Virginia Tech
24,2008,1,Wisconsin,38,17,Akron
25,2008,1,Iowa,46,3,Maine
26,2008,1,Georgia,45,21,Georgia Southern
27,2008,1,Florida,56,10,Hawai'i
28,2008,1,Wyoming,21,20,Ohio
29,2008,1,Air Force,41,7,Southern Utah
30,2008,1,West Virginia,48,21,Villanova
31,2008,1,Navy,41,13,Towson
32,2008,1,Michigan,23,25,Utah
33,2008,1,Washington State,13,39,Oklahoma State
34,2008,1,Virginia,7,52,USC
35,2008,1,Maryland,14,7,Delaware
36,2008,1,UAB,22,45,Tulsa
37,2008,1,Marshall,35,10,Illinois State
38,2008,1,BYU,41,17,Northern Iowa
39,2008,1,North Carolina,35,27,McNeese
40,2008,1,New Mexico,3,26,TCU
41,2008,1,UCF,17,0,South Carolina State
42,2008,1,Louisiana Tech,22,14,Mississippi State
43,2008,1,Texas,52,10,Florida Atlantic
44,2008,1,Nebraska,47,24,Western Michigan
45,2008,1,Duke,31,7,James Madison
46,2008,1,Oklahoma,57,2,Chattanooga
47,2008,1,Texas Tech,49,24,Eastern Washington
48,2008,1,Houston,55,3,Southern
49,2008,1,Ole Miss,41,24,Memphis
50,2008,1,South Florida,56,7,UT Martin
51,2008,1,Arkansas,28,24,Western Illinois
52,2008,1,Southern Miss,51,21,Louisiana
53,2008,1,Minnesota,31,27,Northern Illinois
54,2008,1,Auburn,34,0,UL Monroe
55,2008,1,Kansas State,45,6,North Texas
56,2008,1,Kansas,40,10,Florida International
57,2008,1,Texas A&M,14,18,Arkansas State
58,2008,1,Kent State,0,21,Boston College
59,2008,1,Clemson,10,34,Alabama
60,2008,1,Boise State,49,7,Idaho State
61,2008,1,San José State,13,10,UC Davis
62,2008,1,California,38,31,Michigan State
63,2008,1,Missouri,52,42,Illinois
64,2008,1,Nevada,49,13,Grambling
65,2008,1,San Diego State,27,29,Cal Poly
66,2008,1,UNLV,27,17,Utah State
67,2008,1,Arizona,70,0,Idaho
68,2008,1,Oregon,44,10,Washington
69,2008,1,Arizona State,30,13,Northern Arizona
70,2008,1,Louisville,2,27,Kentucky
71,2008,1,Colorado,38,17,Colorado State
72,2008,1,Rutgers,7,24,Fresno State
73,2008,1,UCLA,27,24,Tennessee
74,2008,2,Vanderbilt,24,17,South Carolina
75,2008,2,Ball State,35,23,Navy
76,2008,2,Ohio State,26,14,Ohio
77,2008,2,Wisconsin,51,14,Marshall
78,2008,2,Michigan,16,6,Miami (OH)
79,2008,2,Illinois,47,21,Eastern Illinois
80,2008,2,Purdue,42,10,Northern Colorado
81,2008,2,Temple,9,12,UConn
82,2008,2,Boston College,16,19,Georgia Tech
83,2008,2,Michigan State,42,10,Eastern Michigan
84,2008,2,Iowa,42,0,Florida International
85,2008,2,Auburn,27,13,Southern Miss
86,2008,2,Nebraska,35,12,San José State
87,2008,2,Army,10,28,New Hampshire
88,2008,2,Virginia Tech,24,7,Furman
89,2008,2,Washington,27,28,BYU
90,2008,2,Oklahoma,52,26,Cincinnati
91,2008,2,Syracuse,28,42,Akron
92,2008,2,Wyoming,3,23,Air Force
93,2008,2,Clemson,45,17,The Citadel
94,2008,2,Colorado State,23,20,Sacramento State
95,2008,2,Louisville,51,10,Tennessee Tech
96,2008,2,Georgia,56,17,Central Michigan
97,2008,2,Wake Forest,30,28,Ole Miss
98,2008,2,Penn State,45,14,Oregon State
99,2008,2,Colorado,31,24,Eastern Washington
100,2008,2,Oregon,66,24,Utah State
101,2008,2,Notre Dame,21,13,San Diego State
102,2008,2,Virginia,16,0,Richmond
103,2008,2,Florida Atlantic,49,34,UAB
104,2008,2,East Carolina,24,3,West Virginia
105,2008,2,Idaho,42,27,Idaho State
106,2008,2,New Mexico,22,28,Texas A&M
107,2008,2,NC State,34,24,William & Mary
108,2008,2,Eastern Kentucky,13,37,Western Kentucky
109,2008,2,Kentucky,38,3,Norfolk State
110,2008,2,Florida State,69,0,Western Carolina
111,2008,2,Pittsburgh,27,16,Buffalo
112,2008,2,Washington State,3,66,California
113,2008,2,Alabama,20,6,Tulane
