,season,week,home_team,home_points,away_points,away_team
0,2019,1,Florida,24,20,Miami
1,2019,1,Hawai'i,45,38,Arizona
2,2019,1,Cincinnati,24,14,UCLA
3,2019,1,UConn,24,21,Wagner
4,2019,1,Buffalo,38,10,Robert Morris
5,2019,1,Bowling Green,46,3,Morgan State
6,2019,1,Western Kentucky,28,35,Central Arkansas
7,2019,1,Charlotte,49,28,Gardner-Webb
8,2019,1,UCF,62,0,Florida A&M
9,2019,1,Tulane,42,14,Florida International
10,2019,1,UAB,24,19,Alabama State
11,2019,1,Clemson,52,14,Georgia Tech
12,2019,1,Texas A&M,41,7,Texas State
13,2019,1,Central Michigan,38,21,UAlbany
14,2019,1,Minnesota,28,21,South Dakota State
15,2019,1,San José State,35,18,Northern Colorado
16,2019,1,Arizona State,30,7,Kent State
17,2019,1,BYU,12,30,Utah
18,2019,1,Army,14,7,Rice
19,2019,1,Michigan State,28,7,Tulsa
20,2019,1,Rutgers,48,21,Massachusetts
21,2019,1,South Florida,0,49,Wisconsin
22,2019,1,Wake Forest,38,35,Utah State
23,2019,1,Nevada,34,31,Purdue
24,2019,1,Colorado,52,31,Colorado State
25,2019,1,Oregon State,36,52,Oklahoma State
26,2019,1,Memphis,15,10,Ole Miss
27,2019,1,Nebraska,35,21,South Alabama
28,2019,1,Kansas,24,17,Indiana State
29,2019,1,Illinois,42,3,Akron
30,2019,1,Louisiana,28,38,Mississippi State
31,2019,1,Kentucky,38,24,Toledo
32,2019,1,Iowa State,29,26,Northern Iowa
33,2019,1,Ohio State,45,21,Florida Atlantic
34,2019,1,Ball State,24,34,Indiana
35,2019,1,Maryland,79,0,Howard
36,2019,1,Florida State,31,36,Boise State
37,2019,1,NC State,34,6,East Carolina
38,2019,1,Ohio,41,20,Rhode Island
39,2019,1,West Virginia,20,13,James Madison
40,2019,1,Washington,47,14,Eastern Washington
41,2019,1,Temple,56,12,Bucknell
42,2019,1,Tennessee,30,38,Georgia State
43,2019,1,App State,42,7,East Tennessee State
44,2019,1,Air Force,48,7,Colgate
45,2019,1,Penn State,79,7,Idaho
46,2019,1,Navy,45,7,Holy Cross
47,2019,1,Coastal Carolina,23,30,Eastern Michigan
48,2019,1,Alabama,42,3,Duke
49,2019,1,North Carolina,24,20,South Carolina
50,2019,1,Texas Tech,45,10,Montana State
51,2019,1,Stanford,17,7,Northwestern
52,2019,1,Arkansas,20,13,Portland State
53,2019,1,Boston College,35,28,Virginia Tech
54,2019,1,UTSA,35,7,Incarnate Word
55,2019,1,Troy,43,14,Campbell
56,2019,1,New Mexico,39,31,Sam Houston
57,2019,1,Liberty,0,24,Syracuse
58,2019,1,California,27,13,UC Davis
59,2019,1,Marshall,56,17,VMI
60,2019,1,Western Michigan,48,13,Monmouth
61,2019,1,Old Dominion,24,21,Norfolk State
62,2019,1,Southern Miss,38,10,Alcorn State
63,2019,1,Arkansas State,30,37,SMU
64,2019,1,Northern Illinois,24,10,Illinois State
65,2019,1,Baylor,56,17,Stephen F. Austin
66,2019,1,Kansas State,49,14,Nicholls
67,2019,1,LSU,55,3,Georgia Southern
68,2019,1,Iowa,38,14,Miami (OH)
69,2019,1,North Texas,51,31,Abilene Christian
70,2019,1,Wyoming,37,31,Missouri
71,2019,1,Auburn,27,21,Oregon
72,2019,1,Vanderbilt,6,30,Georgia
73,2019,1,Michigan,40,21,Middle Tennessee
74,2019,1,Pittsburgh,14,30,Virginia
75,2019,1,TCU,39,7,Arkansas-Pine Bluff
76,2019,1,UTEP,36,34,Houston Christian
77,2019,1,Texas,45,14,Louisiana Tech
78,2019,1,UL Monroe,31,9,Grambling
79,2019,1,San Diego State,6,0,Weber State
80,2019,1,UNLV,56,23,Southern Utah
81,2019,1,Washington State,58,7,New Mexico State
82,2019,1,USC,31,23,Fresno State
83,2019,1,Oklahoma,49,31,Houston
84,2019,1,Louisville,17,35,Notre Dame
85,2019,2,Rice,21,41,Wake Forest
86,2019,2,Virginia,52,17,William & Mary
87,2019,2,Boise State,14,7,Marshall
