,season,week,home_team,home_points,away_points,away_team
0,2021,1,Illinois,30,22,Nebraska
1,2021,1,Fresno State,45,0,UConn
2,2021,1,UCLA,44,10,Hawai'i
3,2021,1,New Mexico State,3,30,UTEP
4,2021,1,San José State,45,14,Southern Utah
5,2021,1,Jacksonville State,0,31,UAB
6,2021,1,Buffalo,69,7,Wagner
7,2021,1,Coastal Carolina,52,14,The Citadel
8,2021,1,UCF,36,31,Boise State
9,2021,1,Ball State,31,21,Western Illinois
10,2021,1,App State,33,19,East Carolina
11,2021,1,NC State,45,0,South Florida
12,2021,1,Tulsa,17,19,UC Davis
13,2021,1,Utah,40,17,Weber State
14,2021,1,New Mexico,27,17,Houston Christian
15,2021,1,Western Kentucky,59,21,UT Martin
16,2021,1,Tennessee,38,6,Bowling Green
17,2021,1,Minnesota,31,45,Ohio State
18,2021,1,Florida International,48,10,Long Island University
19,2021,1,UNLV,33,35,Eastern Washington
20,2021,1,Arizona State,41,14,Southern Utah
21,2021,1,Virginia Tech,17,10,North Carolina
22,2021,1,Wake Forest,42,10,Old Dominion
23,2021,1,Charlotte,31,28,Duke
24,2021,1,Eastern Michigan,35,15,St. Francis (PA)
25,2021,1,Kansas,17,14,South Dakota
26,2021,1,Colorado,35,7,Northern Colorado
27,2021,1,Colorado State,23,42,South Dakota State
28,2021,1,Northwestern,21,38,Michigan State
29,2021,1,Georgia State,10,43,Army
30,2021,1,Michigan,47,14,Western Michigan
31,2021,1,Wisconsin,10,16,Penn State
32,2021,1,Rutgers,61,14,Temple
33,2021,1,Kansas State,24,7,Stanford
34,2021,1,Kentucky,45,10,UL Monroe
35,2021,1,Nebraska,52,7,Fordham
36,2021,1,Oklahoma,40,35,Tulane
37,2021,1,UConn,28,38,Holy Cross
38,2021,1,Boston College,51,0,Colgate
39,2021,1,Air Force,35,14,Lafayette
40,2021,1,Arkansas,38,17,Rice
41,2021,1,Oregon,31,24,Fresno State
42,2021,1,Cincinnati,49,14,Miami (OH)
43,2021,1,Navy,7,49,Marshall
44,2021,1,Maryland,30,24,West Virginia
45,2021,1,Iowa,34,6,Indiana
46,2021,1,Miami,13,44,Alabama
47,2021,1,Mississippi State,35,34,Louisiana Tech
48,2021,1,Pittsburgh,51,7,Massachusetts
49,2021,1,Missouri,34,24,Central Michigan
50,2021,1,Wyoming,19,16,Montana State
51,2021,1,Iowa State,16,10,Northern Iowa
52,2021,1,Texas,38,18,Louisiana
53,2021,1,USC,30,7,San José State
54,2021,1,Liberty,48,7,Campbell
55,2021,1,Georgia Southern,30,25,Gardner-Webb
56,2021,1,Arkansas State,40,21,Central Arkansas
57,2021,1,Troy,55,3,Southern
58,2021,1,Toledo,49,10,Norfolk State
59,2021,1,South Carolina,46,0,Eastern Illinois
60,2021,1,Memphis,42,17,Nicholls
61,2021,1,SMU,56,9,Abilene Christian
62,2021,1,Oklahoma State,23,16,Missouri State
63,2021,1,Middle Tennessee,50,15,Monmouth
64,2021,1,Houston,21,38,Texas Tech
65,2021,1,Texas State,20,29,Baylor
66,2021,1,Auburn,60,10,Akron
67,2021,1,Ohio,9,29,Syracuse
68,2021,1,Purdue,30,21,Oregon State
69,2021,1,Georgia Tech,21,22,Northern Illinois
70,2021,1,Florida,35,14,Florida Atlantic
71,2021,1,Clemson,3,10,Georgia
72,2021,1,Illinois,30,37,UTSA
73,2021,1,North Texas,44,14,Northwestern State
74,2021,1,Virginia,43,0,William & Mary
75,2021,1,Vanderbilt,3,23,East Tennessee State
76,2021,1,TCU,45,3,Duquesne
77,2021,1,Texas A&M,41,10,Kent State
78,2021,1,South Alabama,31,7,Southern Miss
79,2021,1,Washington,7,13,Montana
80,2021,1,UCLA,38,27,LSU
81,2021,1,UTEP,38,28,Bethune-Cookman
82,2021,1,California,17,22,Nevada
83,2021,1,San Diego State,28,10,New Mexico State
84,2021,1,Arizona,16,24,BYU
85,2021,1,Washington State,23,26,Utah State
86,2021,1,Hawai'i,49,35,Portland State
87,2021,1,Florida State,38,41,Notre Dame
88,2021,1,Ole Miss,43,24,Louisville
89,2021,2,Coastal Carolina,49,22,Kansas
90,2021,2,Duke,45,17,North Carolina A&T
91,2021,2,Boise State,54,13,UTEP
92,2021,2,Utah State,48,24,North Dakota
93,2021,2,Virginia,42,14,Illinois
94,2021,2,Army,38,35,Western Kentucky
95,2021,2,Kent State,60,10,VMI
96,2021,2,Minnesota,31,26,Miami (OH)
97,2021,2,Auburn,62,0,Alabama State
98,2021,2,Michigan State,42,14,Youngstown State
99,2021,2,Wake Forest,41,16,Norfolk State
100,2021,2,Ohio State,28,35,Oregon
101,2021,2,Georgia Tech,45,17,Kennesaw State
102,2021,2,Tennessee,34,41,Pittsburgh
103,2021,2,Northwestern,24,6,Indiana State
104,2021,2,Oklahoma State,28,23,Tulsa
105,2021,2,East Carolina,17,20,South Carolina
106,2021,2,South Florida,20,42,Florida
107,2021,2,Tulane,69,20,Morgan State
108,2021,2,Northern Illinois,43,50,Wyoming
109,2021,2,Virginia Tech,35,14,Middle Tennessee
110,2021,2,Syracuse,7,17,Rutgers
111,2021,2,Ohio,26,28,Duquesne
112,2021,2,Notre Dame,32,29,Toledo
113,2021,2,UConn,0,49,Purdue
114,2021,2,Central Michigan,45,0,Robert Morris
115,2021,2,Cincinnati,42,7,Murray State
116,2021,2,Akron,24,45,Temple
117,2021,2,TCU,34,32,California
118,2021,2,Nebraska,28,3,Buffalo
119,2021,2,Massachusetts,28,45,Boston College
120,2021,2,Penn State,44,13,Ball State
121,2021,2,Georgia,56,7,UAB
122,2021,2,Navy,3,23,Air Force
123,2021,2,Florida Atlantic,38,6,Georgia Southern
124,2021,2,Colorado,7,10,Texas A&M
125,2021,2,Bowling Green,19,22,South Alabama
