,season,week,home_team,home_points,away_points,away_team
0,2016,1,California,51,31,Hawai'i
1,2016,1,UConn,24,21,Maine
2,2016,1,Louisville,70,14,Charlotte
3,2016,1,Central Michigan,49,3,Presbyterian
4,2016,1,Wake Forest,7,3,Tulane
5,2016,1,Cincinnati,28,7,UT Martin
6,2016,1,Tennessee,20,13,App State
7,2016,1,NC State,48,14,William & Mary
8,2016,1,Florida International,13,34,Indiana
9,2016,1,Utah State,45,6,Weber State
10,2016,1,Utah,24,0,Southern Utah
11,2016,1,Western Kentucky,46,14,Rice
12,2016,1,Vanderbilt,10,13,South Carolina
13,2016,1,New Mexico,48,21,South Dakota
14,2016,1,Idaho,20,17,Montana State
15,2016,1,Minnesota,30,23,Oregon State
16,2016,1,UNLV,63,13,Jackson State
17,2016,1,Eastern Michigan,61,14,Mississippi Valley State
18,2016,1,Michigan State,28,13,Furman
19,2016,1,Buffalo,16,22,UAlbany
20,2016,1,Syracuse,33,7,Colgate
21,2016,1,Temple,13,28,Army
22,2016,1,Georgia State,21,31,Ball State
23,2016,1,Baylor,55,7,Northwestern State
24,2016,1,Colorado,44,7,Colorado State
25,2016,1,Stanford,26,13,Kansas State
26,2016,1,Arkansas State,10,31,Toledo
27,2016,1,Nevada,30,27,Cal Poly
28,2016,1,Boston College,14,17,Georgia Tech
29,2016,1,Northwestern,21,22,Western Michigan
30,2016,1,Purdue,45,24,Eastern Kentucky
31,2016,1,Mississippi State,20,21,South Alabama
32,2016,1,Maryland,52,13,Howard
33,2016,1,West Virginia,26,11,Missouri
34,2016,1,Louisiana,10,45,Boise State
35,2016,1,Ohio State,77,10,Bowling Green
36,2016,1,Navy,52,16,Fordham
37,2016,1,Michigan,63,3,Hawai'i
38,2016,1,Houston,33,23,Oklahoma
39,2016,1,Virginia Tech,36,13,Liberty
40,2016,1,Pittsburgh,28,7,Villanova
41,2016,1,Washington,48,13,Rutgers
42,2016,1,Air Force,37,21,Abilene Christian
43,2016,1,Texas A&M,31,24,UCLA
44,2016,1,Iowa,45,21,Miami (OH)
45,2016,1,Oklahoma State,61,7,SE Louisiana
46,2016,1,Ohio,54,56,Texas State
47,2016,1,Penn State,33,13,Kent State
48,2016,1,Virginia,20,37,Richmond
49,2016,1,Illinois,52,3,Murray State
50,2016,1,Wisconsin,16,14,LSU
51,2016,1,Arkansas,21,20,Louisiana Tech
52,2016,1,Oregon,53,28,UC Davis
53,2016,1,North Carolina,24,33,Georgia
54,2016,1,Georgia Southern,54,0,Savannah St
55,2016,1,Duke,49,6,North Carolina Central
56,2016,1,Florida Atlantic,38,30,Southern Illinois
57,2016,1,East Carolina,52,7,Western Carolina
58,2016,1,Troy,57,17,Austin Peay
59,2016,1,Miami,70,3,Florida A&M
60,2016,1,Akron,47,24,VMI
61,2016,1,Tulsa,45,10,San José State
62,2016,1,Memphis,35,17,Southeast Missouri State
63,2016,1,South Florida,56,20,Towson
